N,Z,E,U(E),known,A,N-Z,N/Z
30,13,6712.0,14.0,0,43,17,2.3076923076923075
29,14,7251.0,9.0,0,43,15,2.0714285714285716
28,15,7681.0,7.0,0,43,13,1.8666666666666667
27,16,8063.8276,0.1156,1,43,11,1.6875
26,17,8323.8672,1.4386,1,43,9,1.5294117647058822
25,18,8488.2382,0.1235,1,43,7,1.3888888888888888
24,19,8576.2204,0.0095,1,43,5,1.263157894736842
23,20,8600.6653,0.0053,1,43,3,1.15
22,21,8530.8265,0.0433,1,43,1,1.0476190476190477
21,22,8352.8054,0.133,1,43,-1,0.9545454545454546
20,23,8069.5129,0.9965,1,43,-3,0.8695652173913043
19,24,7680.0,5.0,0,43,-5,0.7916666666666666
18,25,7213.0,9.0,0,43,-7,0.72
30,14,7156.0,11.0,0,44,16,2.142857142857143
29,15,7552.0,9.0,0,44,14,1.9333333333333333
28,16,7996.0154,0.1186,1,44,12,1.75
27,17,8234.4788,1.9447,1,44,10,1.588235294117647
26,18,8493.8411,0.036,1,44,8,1.4444444444444444
25,19,8546.7023,0.0095,1,44,6,1.3157894736842106
24,20,8658.1769,0.0074,1,44,4,1.2
23,21,8557.3805,0.0399,1,44,2,1.0952380952380953
22,22,8533.5215,0.0159,1,44,0,1.0
21,23,8203.4567,0.1651,1,44,-2,0.9130434782608695
20,24,7949.6265,1.1644,1,44,-4,0.8333333333333334
19,25,7457.0,7.0,0,44,-6,0.76
31,14,7004.0,13.0,0,45,17,2.2142857142857144
30,15,7456.0,11.0,0,45,15,2.0
29,16,7867.0,7.0,0,45,13,1.8125
28,17,8181.5991,3.0259,1,45,11,1.6470588235294117
27,18,8419.9526,0.0114,1,45,9,1.5
26,19,8554.6747,0.0116,1,45,7,1.368421052631579
25,20,8630.5467,0.0081,1,45,5,1.25
24,21,8618.941,0.0147,1,45,3,1.1428571428571428
23,22,8555.7321,0.0186,1,45,1,1.0454545454545454
22,23,8380.0394,0.0192,1,45,-1,0.9565217391304348
21,24,8087.7286,0.7866,1,45,-3,0.875
20,25,7747.0,7.0,0,45,-5,0.8
19,26,7299.0,6.0,0,45,-7,0.7307692307692307
31,15,7320.0,11.0,0,46,16,2.066666666666667
30,16,7785.0,9.0,0,46,14,1.875
29,17,8080.7757,2.1141,1,46,12,1.7058823529411764
28,18,8412.3835,0.0506,1,46,10,1.5555555555555556
27,19,8518.0428,0.0158,1,46,8,1.4210526315789473
26,20,8668.9848,0.0486,1,46,6,1.3
25,21,8622.0215,0.0146,1,46,4,1.1904761904761905
24,22,8656.4623,0.002,1,46,2,1.0909090909090908
23,23,8486.1423,0.0029,1,46,0,1.0
22,24,8303.8233,0.249,1,46,-2,0.9166666666666666
21,25,7916.0805,1.8832,1,46,-4,0.84
20,26,7603.0,7.0,0,46,-6,0.7692307692307693
