N,Z,E,U(E),known,A,N-Z,N/Z
70,52,8478.1315,0.0111,1,122,18,1.3461538461538463
69,53,8437.0139,0.0425,1,122,16,1.3018867924528301
68,54,8424.6644,0.0911,1,122,14,1.2592592592592593
67,55,8359.1515,0.2761,1,122,12,1.2181818181818183
66,56,8323.7567,0.2291,1,122,10,1.1785714285714286
65,57,8235.0,2.0,0,122,8,1.1403508771929824
64,58,8174.0,3.0,0,122,6,1.103448275862069
63,59,8060.0,4.0,0,122,4,1.0677966101694916
79,44,8089.0,4.0,0,123,35,1.7954545454545454
78,45,8185.0,3.0,0,123,33,1.7333333333333334
77,46,8270.0318,6.4182,1,123,31,1.673913043478261
76,47,8337.9707,0.2651,1,123,29,1.6170212765957446
75,48,8395.3955,0.0219,1,123,27,1.5625
74,49,8437.9362,0.1612,1,123,25,1.510204081632653
73,50,8467.2313,0.0202,1,123,23,1.46
72,51,8472.3196,0.011,1,123,21,1.411764705882353
71,52,8465.537,0.011,1,123,19,1.3653846153846154
70,53,8449.1896,0.03,1,123,17,1.320754716981132
69,54,8420.9239,0.0775,1,123,15,1.2777777777777777
68,55,8380.3796,0.0985,1,123,13,1.2363636363636363
67,56,8330.2086,0.0985,1,123,11,1.1964285714285714
66,57,8267.0,2.0,0,123,9,1.1578947368421053
65,58,8193.0,2.0,0,123,7,1.1206896551724137
64,59,8104.0,3.0,0,123,5,1.0847457627118644
80,44,8065.0,5.0,0,124,36,1.8181818181818181
79,45,8148.0,3.0,0,124,34,1.7555555555555555
78,46,8252.0,2.0,0,124,32,1.6956521739130435
77,47,8308.8958,2.0283,1,124,30,1.6382978723404256
76,48,8387.0179,0.021,1,124,28,1.5833333333333333
75,49,8414.3243,0.2465,1,124,26,1.530612244897959
74,50,8467.3997,0.0106,1,124,24,1.48
73,51,8456.1517,0.011,1,124,22,1.4313725490196079
72,52,8473.2705,0.0109,1,124,20,1.3846153846153846
71,53,8441.4807,0.0185,1,124,18,1.3396226415094339
70,54,8437.6138,0.011,1,124,16,1.2962962962962963
69,55,8383.5114,0.0738,1,124,14,1.2545454545454546
68,56,8355.8209,0.1008,1,124,12,1.2142857142857142
67,57,8278.2926,0.457,1,124,10,1.1754385964912282
66,58,8229.0,2.0,0,124,8,1.1379310344827587
65,59,8128.0,3.0,0,124,6,1.1016949152542372
64,60,8054.0,4.0,0,124,4,1.0666666666666667
81,44,8023.0,2.0,0,125,37,1.8409090909090908
80,45,8124.0,4.0,0,125,35,1.7777777777777777
79,46,8215.0,3.0,0,125,33,1.7173913043478262
78,47,8293.3151,3.4652,1,125,31,1.6595744680851063
77,48,8357.6815,0.0231,1,125,29,1.6041666666666667
76,49,8407.9365,0.0142,1,125,27,1.5510204081632653
75,50,8445.5285,0.0106,1,125,25,1.5
74,51,8458.1612,0.0201,1,125,23,1.4509803921568627
73,52,8458.0361,0.0108,1,125,21,1.4038461538461537
72,53,8450.2911,0.0108,1,125,19,1.3584905660377358
71,54,8430.939,0.0113,1,125,17,1.3148148148148149
70,55,8399.8033,0.0619,1,125,15,1.2727272727272727
69,56,8358.1784,0.0879,1,125,13,1.2321428571428572
68,57,8304.6438,0.208,1,125,11,1.1929824561403508
67,58,8242.0,2.0,0,125,9,1.1551724137931034
66,59,8167.0,2.0,0,125,7,1.11864406779661
65,60,8080.0,3.0,0,125,5,1.0833333333333333
81,45,8087.0,4.0,0,126,36,1.8
80,46,8197.0,3.0,0,126,34,1.7391304347826086
79,47,8261.0,2.0,0,126,32,1.6808510638297873
78,48,8346.7393,0.0183,1,126,30,1.625
77,49,8384.6067,0.0333,1,126,28,1.5714285714285714
76,50,8443.5227,0.0848,1,126,26,1.52
75,51,8440.3136,0.2528,1,126,24,1.4705882352941178
74,52,8463.2397,0.0107,1,126,22,1.4230769230769231
73,53,8439.9379,0.03,1,126,20,1.3773584905660377
72,54,8443.5375,0.0003,1,126,18,1.3333333333333333
71,55,8399.2673,0.0822,1,126,16,1.290909090909091
70,56,8379.7187,0.0992,1,126,14,1.25
69,57,8312.4268,0.7183,1,126,12,1.2105263157894737
68,58,8273.2581,0.2218,1,126,10,1.1724137931034482
67,59,8184.0,2.0,0,126,8,1.1355932203389831
66,60,8122.0,2.0,0,126,6,1.1
65,61,8008.0,4.0,0,126,4,1.0655737704918034
82,45,8060.0,5.0,0,127,37,1.8222222222222222
81,46,8160.0,4.0,0,127,35,1.7608695652173914
80,47,8244.0,2.0,0,127,33,1.702127659574468
79,48,8316.8971,0.0488,1,127,31,1.6458333333333333
78,49,8374.8212,0.0788,1,127,29,1.5918367346938775
77,50,8420.5482,0.0726,1,127,27,1.54
76,51,8439.811,0.04,1,127,25,1.4901960784313726
75,52,8446.109,0.0108,1,127,23,1.4423076923076923
74,53,8445.482,0.0285,1,127,21,1.3962264150943395
73,54,8434.1066,0.0322,1,127,19,1.3518518518518519
72,55,8411.5617,0.0439,1,127,17,1.309090909090909
71,56,8378.456,0.0894,1,127,15,1.2678571428571428
70,57,8333.5412,0.2047,1,127,13,1.2280701754385965
69,58,8280.7922,0.2274,1,127,11,1.1896551724137931
68,59,8216.0,2.0,0,127,9,1.152542372881356
67,60,8142.0,2.0,0,127,7,1.1166666666666667
66,61,8052.0,3.0,0,127,5,1.0819672131147542
83,45,8010.0,2.0,0,128,38,1.8444444444444446
82,46,8137.0,4.0,0,128,36,1.7826086956521738
81,47,8211.0,2.0,0,128,34,1.7234042553191489
80,48,8303.2367,0.0503,1,128,32,1.6666666666666667
79,49,8351.4361,0.0103,1,128,30,1.6122448979591837
78,50,8416.9749,0.1381,1,128,28,1.56
77,51,8420.7724,0.1468,1,128,26,1.5098039215686274
76,52,8448.7536,0.0055,1,128,24,1.4615384615384615
75,53,8432.8309,0.0283,1,128,22,1.4150943396226414
74,54,8443.3008,0.0003,1,128,20,1.3703703703703705
73,55,8406.4953,0.042,1,128,18,1.3272727272727274
72,56,8395.9878,0.0126,1,128,16,1.2857142857142858
71,57,8337.1904,0.4254,1,128,14,1.2456140350877194
70,58,8306.9259,0.2183,1,128,12,1.206896551724138
69,59,8228.9141,0.2329,1,128,10,1.1694915254237288
68,60,8177.0,2.0,0,128,8,1.1333333333333333
67,61,8075.0,2.0,0,128,6,1.098360655737705
66,62,7998.0,4.0,0,128,4,1.064516129032258
83,46,8086.0,5.0,0,129,37,1.8043478260869565
82,47,8188.0,3.0,0,129,35,1.7446808510638299
81,48,8269.5311,0.0412,1,129,33,1.6875
80,49,8338.759,0.0153,1,129,31,1.6326530612244898
79,50,8392.8161,0.1339,1,129,29,1.58
78,51,8418.0598,0.1645,1,129,27,1.5294117647058822
77,52,8430.4098,0.0055,1,129,25,1.4807692307692308
76,53,8435.9908,0.0244,1,129,23,1.4339622641509433
75,54,8431.3904,0.0003,1,129,21,1.3888888888888888
74,55,8416.0465,0.0353,1,129,19,1.3454545454545455
73,56,8391.0811,0.0814,1,129,17,1.3035714285714286
72,57,8356.0449,0.1655,1,129,15,1.263157894736842
71,58,8310.9411,0.2166,1,129,13,1.2241379310344827
70,59,8254.3808,0.2311,1,129,11,1.1864406779661016
69,60,8191.0,2.0,0,129,9,1.15
68,61,8114.0,2.0,0,129,7,1.1147540983606556
67,62,8023.0,4.0,0,129,5,1.0806451612903225
84,46,8046.0,2.0,0,130,38,1.826086956521739
83,47,8142.0,3.0,0,130,36,1.7659574468085106
82,48,8252.5868,0.172,1,130,34,1.7083333333333333
81,49,8314.176,0.0138,1,130,32,1.653061224489796
80,50,8386.817,0.0144,1,130,30,1.6
79,51,8397.3641,0.1093,1,130,28,1.5490196078431373
78,52,8430.3251,0.0003,1,130,26,1.5
77,53,8421.1011,0.0243,1,130,24,1.4528301886792452
76,54,8437.7314,0.0003,1,130,22,1.4074074074074074
75,55,8408.7848,0.0643,1,130,20,1.3636363636363635
74,56,8405.513,0.0022,1,130,18,1.3214285714285714
73,57,8356.1919,0.1996,1,130,16,1.280701754385965
72,58,8333.2164,0.215,1,130,14,1.2413793103448276
71,59,8263.7565,0.4944,1,130,12,1.2033898305084745
70,60,8222.5136,0.215,1,130,10,1.1666666666666667
69,61,8131.0,2.0,0,130,8,1.1311475409836065
68,62,8065.0,3.0,0,130,6,1.096774193548387
67,63,7950.0,4.0,0,130,4,1.0634920634920635
85,46,7993.0,2.0,0,131,39,1.8478260869565217
84,47,8102.0,4.0,0,131,37,1.7872340425531914
83,48,8206.1204,0.1469,1,131,35,1.7291666666666667
82,49,8297.9544,0.0168,1,131,33,1.6734693877551021
81,50,8362.5183,0.0276,1,131,31,1.62
80,51,8392.5525,0.0159,1,131,29,1.5686274509803921
79,52,8411.2339,0.0005,1,131,27,1.5192307692307692
78,53,8422.2977,0.0046,1,131,25,1.471698113207547
77,54,8423.7367,0.0003,1,131,23,1.4259259259259258
76,55,8415.0317,0.0014,1,131,21,1.3818181818181818
75,56,8398.5511,0.0032,1,131,19,1.3392857142857142
74,57,8370.3676,0.2133,1,131,17,1.2982456140350878
73,58,8333.3969,0.2504,1,131,15,1.2586206896551724
72,59,8286.1439,0.3587,1,131,13,1.2203389830508475
71,60,8230.3045,0.2101,1,131,11,1.1833333333333333
70,61,8163.0,2.0,0,131,9,1.1475409836065573
69,62,8085.0,3.0,0,131,7,1.1129032258064515
68,63,7996.0,3.0,0,131,5,1.0793650793650793
85,47,8053.0,4.0,0,132,38,1.8085106382978724
84,48,8169.1421,0.4551,1,132,36,1.75
83,49,8253.7162,0.4548,1,132,34,1.6938775510204083
82,50,8354.8726,0.015,1,132,32,1.64
81,51,8372.3452,0.0187,1,132,30,1.588235294117647
80,52,8408.4859,0.0264,1,132,28,1.5384615384615385
79,53,8406.4628,0.0308,1,132,26,1.490566037735849
78,54,8427.6229,0.0003,1,132,24,1.4444444444444444
77,55,8405.5878,0.0079,1,132,22,1.4
76,56,8409.3747,0.008,1,132,20,1.3571428571428572
75,57,8367.7559,0.2754,1,132,18,1.3157894736842106
74,58,8352.3223,0.1546,1,132,16,1.2758620689655173
73,59,8291.5377,0.2188,1,132,14,1.2372881355932204
72,60,8256.8104,0.1834,1,132,12,1.2
71,61,8177.0,1.0,0,132,10,1.1639344262295082
70,62,8122.0,2.0,0,132,8,1.1290322580645162
69,63,8018.0,3.0,0,132,6,1.0952380952380953
86,47,8013.0,4.0,0,133,39,1.8297872340425532
85,48,8121.0,2.0,0,133,37,1.7708333333333333
84,49,8217.0,2.0,0,133,35,1.7142857142857142
83,50,8310.089,0.0143,1,133,33,1.66
82,51,8364.7302,0.0235,1,133,31,1.607843137254902
81,52,8389.0255,0.0155,1,133,29,1.5576923076923077
80,53,8405.0993,0.0444,1,133,27,1.509433962264151
79,54,8412.6477,0.018,1,133,25,1.462962962962963
78,55,8409.9786,0.0003,1,133,23,1.4181818181818182
77,56,8400.2059,0.0075,1,133,21,1.375
76,57,8378.8415,0.2101,1,133,19,1.3333333333333333
75,58,8349.8301,0.123,1,133,17,1.293103448275862
74,59,8310.2588,0.094,1,133,15,1.2542372881355932
73,60,8262.232,0.3502,1,133,13,1.2166666666666666
72,61,8204.2841,0.3782,1,133,11,1.180327868852459
71,62,8137.0,2.0,0,133,9,1.1451612903225807
70,63,8056.0,2.0,0,133,7,1.1111111111111112
69,64,7966.0,4.0,0,133,5,1.078125
86,48,8086.0,2.0,0,134,38,1.7916666666666667
85,49,8173.0,1.0,0,134,36,1.7346938775510203
84,50,8275.1719,0.0236,1,134,34,1.68
83,51,8325.9398,0.0229,1,134,32,1.6274509803921569
82,52,8383.6442,0.0205,1,134,30,1.5769230769230769
81,53,8389.0722,0.0362,1,134,28,1.528301886792453
80,54,8413.6994,0.0003,1,134,26,1.4814814814814814
79,55,8398.647,0.0003,1,134,24,1.4363636363636363
78,56,8408.1731,0.0019,1,134,22,1.3928571428571428
77,57,8374.4888,0.1487,1,134,20,1.3508771929824561
76,58,8365.7716,0.1521,1,134,18,1.3103448275862069
75,59,8312.8817,0.1516,1,134,16,1.271186440677966
74,60,8285.5391,0.0882,1,134,14,1.2333333333333334
73,61,8213.4131,0.3128,1,134,12,1.1967213114754098
72,62,8167.0,1.0,0,134,10,1.1612903225806452
71,63,8075.0,2.0,0,134,8,1.126984126984127
70,64,8008.0,3.0,0,134,6,1.09375
87,48,8036.0,3.0,0,135,39,1.8125
86,49,8136.0,2.0,0,135,37,1.7551020408163265
85,50,8230.6877,0.0228,1,135,35,1.7
84,51,8291.9894,0.0196,1,135,33,1.6470588235294117
83,52,8345.7384,0.0128,1,135,31,1.5961538461538463
82,53,8384.7609,0.0153,1,135,29,1.5471698113207548
81,54,8398.4783,0.0272,1,135,27,1.5
80,55,8401.3393,0.0027,1,135,25,1.4545454545454546
79,56,8397.5345,0.0018,1,135,23,1.4107142857142858
78,57,8382.7972,0.0699,1,135,21,1.368421052631579
77,58,8361.9861,0.076,1,135,19,1.3275862068965518
76,59,8328.9284,0.0875,1,135,17,1.2881355932203389
75,60,8288.1536,0.1417,1,135,15,1.25
74,61,8236.7933,0.6141,1,135,13,1.2131147540983607
73,62,8177.627,1.1454,1,135,11,1.1774193548387097
72,63,8107.0,1.0,0,135,9,1.1428571428571428
71,64,8028.0,3.0,0,135,7,1.109375
70,65,7939.0,3.0,0,135,5,1.0769230769230769
87,49,8091.0,2.0,0,136,38,1.7755102040816326
86,50,8197.0,1.0,0,136,36,1.72
85,51,8252.2533,0.0429,1,136,34,1.6666666666666667
84,52,8319.4301,0.0168,1,136,32,1.6153846153846154
83,53,8351.3242,0.1043,1,136,30,1.5660377358490567
82,54,8396.1889,0.0003,1,136,28,1.5185185185185186
81,55,8389.7723,0.0138,1,136,26,1.4727272727272727
80,56,8402.7566,0.0018,1,136,24,1.4285714285714286
79,57,8376.0512,0.391,1,136,22,1.3859649122807018
78,58,8373.7624,0.0024,1,136,20,1.3448275862068966
77,59,8330.0089,0.0842,1,136,18,1.305084745762712
76,60,8308.5127,0.0869,1,136,16,1.2666666666666666
75,61,8243.7207,0.5079,1,136,14,1.2295081967213115
74,62,8205.9165,0.0919,1,136,12,1.1935483870967742
73,63,8122.0,1.0,0,136,10,1.1587301587301588
72,64,8064.0,2.0,0,136,8,1.125
71,65,7961.0,4.0,0,136,6,1.0923076923076922
88,49,8053.0,3.0,0,137,39,1.7959183673469388
87,50,8152.0,2.0,0,137,37,1.74
86,51,8218.4764,0.3808,1,137,35,1.6862745098039216
85,52,8280.2357,0.0153,1,137,33,1.6346153846153846
84,53,8326.0033,0.0612,1,137,31,1.5849056603773586
83,54,8364.2865,0.0008,1,137,29,1.537037037037037
82,55,8388.9581,0.0022,1,137,27,1.490909090909091
81,56,8391.8288,0.0018,1,137,25,1.4464285714285714
80,57,8381.8807,0.012,1,137,23,1.4035087719298245
79,58,8367.2497,0.0026,1,137,21,1.3620689655172413
78,59,8341.7074,0.0594,1,137,19,1.3220338983050848
77,60,8309.5892,0.0856,1,137,17,1.2833333333333334
76,61,8263.6516,0.0952,1,137,15,1.2459016393442623
75,62,8213.5527,0.2089,1,137,13,1.2096774193548387
74,63,8150.5738,0.032,1,137,11,1.1746031746031746
73,64,8080.0,2.0,0,137,9,1.140625
72,65,7999.0,3.0,0,137,7,1.1076923076923078
88,50,8118.0,3.0,0,138,38,1.76
87,51,8178.0,2.0,0,138,36,1.7058823529411764
86,52,8252.5786,0.0274,1,138,34,1.6538461538461537
85,53,8292.445,0.0432,1,138,32,1.6037735849056605
84,54,8344.6913,0.0203,1,138,30,1.5555555555555556
83,55,8360.1437,0.0664,1,138,28,1.509090909090909
82,56,8393.4222,0.0018,1,138,26,1.4642857142857142
81,57,8375.0835,0.003,1,138,24,1.4210526315789473
80,58,8377.0408,0.0036,1,138,22,1.3793103448275863
79,59,8339.2195,0.0726,1,138,20,1.3389830508474576
78,60,8325.4946,0.0841,1,138,18,1.3
77,61,8268.3558,0.0841,1,138,16,1.2622950819672132
76,62,8237.9286,0.0856,1,138,14,1.2258064516129032
75,63,8161.6211,0.2025,1,138,12,1.1904761904761905
74,64,8112.0,1.0,0,138,10,1.15625
73,65,8019.0,2.0,0,138,8,1.123076923076923
72,66,7950.0,4.0,0,138,6,1.0909090909090908
89,50,8073.0,3.0,0,139,39,1.78
88,51,8144.0,3.0,0,139,37,1.7254901960784315
87,52,8211.7716,0.0255,1,139,35,1.6730769230769231
86,53,8265.61,0.0288,1,139,33,1.6226415094339623
85,54,8311.5904,0.0154,1,139,31,1.5740740740740742
84,55,8342.3397,0.0225,1,139,29,1.5272727272727273
83,56,8367.0194,0.0018,1,139,27,1.4821428571428572
82,57,8377.9987,0.0044,1,139,25,1.4385964912280702
81,58,8370.4664,0.015,1,139,23,1.396551724137931
80,59,8349.5208,0.0263,1,139,21,1.3559322033898304
79,60,8323.6642,0.198,1,139,19,1.3166666666666667
78,61,8285.5473,0.0978,1,139,17,1.278688524590164
77,62,8243.0786,0.0783,1,139,15,1.2419354838709677
76,63,8187.2187,0.0946,1,139,13,1.2063492063492063
75,64,8126.0,1.0,0,139,11,1.171875
74,65,8052.0,2.0,0,139,9,1.1384615384615384
73,66,7971.0,4.0,0,139,7,1.106060606060606
90,50,8038.0,2.0,0,140,40,1.8
89,51,8103.0,4.0,0,140,38,1.7450980392156863
88,52,8183.3567,0.1027,1,140,36,1.6923076923076923
87,53,8229.474,0.0865,1,140,34,1.6415094339622642
86,54,8290.8875,0.0166,1,140,32,1.5925925925925926
85,55,8314.3227,0.0586,1,140,30,1.5454545454545454
84,56,8353.15,0.0564,1,140,28,1.5
83,57,8355.0201,0.0043,1,140,26,1.456140350877193
82,58,8376.3045,0.0094,1,140,24,1.4137931034482758
81,59,8346.5163,0.0439,1,140,22,1.3728813559322033
80,60,8337.864,0.0233,1,140,20,1.3333333333333333
79,61,8289.0958,0.173,1,140,18,1.2950819672131149
78,62,8263.8211,0.0893,1,140,16,1.2580645161290323
77,63,8197.733,0.3681,1,140,14,1.2222222222222223
76,64,8154.9757,0.1996,1,140,12,1.1875
75,65,8068.6732,5.7178,1,140,10,1.1538461538461537
74,66,8008.0,3.0,0,140,8,1.121212121212121
73,67,7906.0,4.0,0,140,6,1.0895522388059702
90,51,8069.0,4.0,0,141,39,1.7647058823529411
89,52,8142.0,3.0,0,141,37,1.7115384615384615
88,53,8202.2562,0.1123,1,141,35,1.6603773584905661
87,54,8255.3647,0.0205,1,141,33,1.6111111111111112
86,55,8294.3554,0.0652,1,141,31,1.5636363636363637
85,56,8326.0774,0.0377,1,141,29,1.5178571428571428
84,57,8343.205,0.0293,1,141,27,1.4736842105263157
83,58,8355.3956,0.0093,1,141,25,1.4310344827586208
82,59,8353.9852,0.0106,1,141,23,1.3898305084745763
81,60,8335.5074,0.0226,1,141,21,1.35
80,61,8303.9405,0.0991,1,141,19,1.3114754098360655
79,62,8265.846,0.0605,1,141,17,1.2741935483870968
78,63,8217.6853,0.0896,1,141,15,1.2380952380952381
77,64,8164.609,0.1401,1,141,13,1.203125
76,65,8097.4761,0.7465,1,141,11,1.1692307692307693
75,66,8027.0,2.0,0,141,9,1.1363636363636365
74,67,7943.0,3.0,0,141,7,1.1044776119402986
91,51,8027.0,2.0,0,142,40,1.7843137254901962
90,52,8113.0,4.0,0,142,38,1.7307692307692308
89,53,8165.2517,0.0348,1,142,36,1.679245283018868
88,54,8233.1695,0.019,1,142,34,1.6296296296296295
87,55,8264.8777,0.0498,1,142,32,1.5818181818181818
86,56,8310.9718,0.0417,1,142,30,1.5357142857142858
85,57,8320.8263,0.0443,1,142,28,1.4912280701754386
84,58,8347.07,0.0172,1,142,26,1.4482758620689655
83,59,8336.3032,0.0106,1,142,24,1.4067796610169492
82,60,8346.031,0.0088,1,142,22,1.3666666666666667
81,61,8306.6587,0.1662,1,142,20,1.3278688524590163
80,62,8285.9407,0.0131,1,142,18,1.2903225806451613
79,63,8226.396,0.2117,1,142,16,1.253968253968254
78,64,8190.2569,0.1968,1,142,14,1.21875
77,65,8111.508,4.9335,1,142,12,1.1846153846153846
76,66,8061.0,5.0,0,142,10,1.1515151515151516
75,67,7965.0,3.0,0,142,8,1.1194029850746268
74,68,7893.0,4.0,0,142,6,1.088235294117647
91,52,8070.0,3.0,0,143,39,1.75
90,53,8137.0,1.0,0,143,37,1.6981132075471699
89,54,8196.8855,0.0326,1,143,35,1.6481481481481481
88,55,8243.6707,0.053,1,143,33,1.6
87,56,8281.9878,0.0472,1,143,31,1.5535714285714286
86,57,8306.1271,0.0513,1,143,29,1.5087719298245614
85,58,8324.6765,0.0171,1,143,27,1.4655172413793103
84,59,8329.428,0.0127,1,143,25,1.423728813559322
83,60,8330.4893,0.0088,1,143,23,1.3833333333333333
82,61,8317.7341,0.0206,1,143,21,1.3442622950819672
81,62,8288.1825,0.0192,1,143,19,1.3064516129032258
80,63,8245.8177,0.0768,1,143,17,1.2698412698412698
79,64,8198.3188,1.4007,1,143,15,1.234375
78,65,8138.2176,0.3583,1,143,13,1.2
77,66,8075.0527,0.0912,1,143,11,1.1666666666666667
76,67,7999.0,2.0,0,143,9,1.1343283582089552
75,68,7917.0,3.0,0,143,7,1.1029411764705883
92,52,8040.0,2.0,0,144,40,1.7692307692307692
91,53,8098.0,3.0,0,144,38,1.7169811320754718
90,54,8172.8845,0.0369,1,144,36,1.6666666666666667
89,55,8211.8894,0.1398,1,144,34,1.6181818181818182
88,56,8265.4549,0.0496,1,144,32,1.5714285714285714
87,57,8281.4283,0.0898,1,144,30,1.5263157894736843
86,58,8314.7612,0.0197,1,144,28,1.4827586206896552
85,59,8311.5411,0.0188,1,144,26,1.4406779661016949
84,60,8326.9237,0.0087,1,144,24,1.4
83,61,8305.2969,0.0202,1,144,22,1.360655737704918
82,62,8303.68,0.0101,1,144,20,1.3225806451612903
81,63,8254.1744,0.0749,1,144,18,1.2857142857142858
80,64,8221.9382,0.1941,1,144,16,1.25
79,65,8151.2877,0.1941,1,144,14,1.2153846153846153
78,66,8105.5902,0.0498,1,144,12,1.1818181818181819
77,67,8017.0977,0.0589,1,144,10,1.1492537313432836
76,68,7956.0,1.0,0,144,8,1.1176470588235294
75,69,7850.0,3.0,0,144,6,1.0869565217391304
93,52,7998.0,2.0,0,145,41,1.7884615384615385
92,53,8069.0,3.0,0,145,39,1.7358490566037736
91,54,8135.0877,0.0771,1,145,37,1.6851851851851851
90,55,8188.7342,0.0625,1,145,35,1.6363636363636365
89,56,8234.7991,0.0585,1,145,33,1.5892857142857142
88,57,8266.0873,0.0846,1,145,31,1.543859649122807
87,58,8289.8762,0.2338,1,145,29,1.5
86,59,8302.1285,0.0493,1,145,27,1.4576271186440677
85,60,8309.1883,0.0088,1,145,25,1.4166666666666667
84,61,8302.6583,0.0193,1,145,23,1.3770491803278688
83,62,8293.0139,0.0102,1,145,21,1.3387096774193548
82,63,8269.2744,0.0211,1,145,19,1.3015873015873016
81,64,8228.9485,0.136,1,145,17,1.265625
80,65,8178.5397,0.7648,1,145,15,1.2307692307692308
79,66,8116.8884,0.045,1,145,13,1.196969696969697
78,67,8048.5792,0.0514,1,145,11,1.164179104477612
77,68,7975.0,1.0,0,145,9,1.1323529411764706
76,69,7889.0,1.0,0,145,7,1.1014492753623188
93,53,8031.0,2.0,0,146,40,1.7547169811320755
92,54,8110.4154,0.1659,1,146,38,1.7037037037037037
91,55,8155.4365,0.0198,1,146,36,1.6545454545454545
90,56,8215.5293,0.0121,1,146,34,1.6071428571428572
89,57,8239.9988,0.0115,1,146,32,1.5614035087719298
88,58,8278.5081,0.1004,1,146,30,1.5172413793103448
87,59,8280.325,0.2353,1,146,28,1.4745762711864407
86,60,8304.0927,0.0087,1,146,26,1.4333333333333333
85,61,8288.655,0.0293,1,146,24,1.3934426229508197
84,62,8293.8581,0.0209,1,146,22,1.3548387096774193
83,63,8261.9327,0.0412,1,146,20,1.3174603174603174
82,64,8249.5072,0.0279,1,146,18,1.28125
81,65,8187.1474,0.3073,1,146,16,1.2461538461538462
80,66,8146.1128,0.0459,1,146,14,1.2121212121212122
79,67,8063.2426,0.0451,1,146,12,1.1791044776119404
78,68,8010.5127,0.0459,1,146,10,1.1470588235294117
77,69,7914.0,1.0,0,146,8,1.1159420289855073
94,53,8001.0,2.0,0,147,41,1.7735849056603774
93,54,8072.0,1.0,0,147,39,1.7222222222222223
92,55,8131.801,0.057,1,147,37,1.6727272727272726
91,56,8183.2405,0.1343,1,147,35,1.625
90,57,8221.5536,0.0729,1,147,33,1.5789473684210527
89,58,8252.5274,0.0584,1,147,31,1.5344827586206897
88,59,8270.54,0.1079,1,147,29,1.4915254237288136
87,60,8283.6036,0.0087,1,147,27,1.45
86,61,8284.3712,0.0088,1,147,25,1.4098360655737705
85,62,8280.5734,0.0086,1,147,23,1.3709677419354838
84,63,8263.5409,0.0175,1,147,21,1.3333333333333333
83,64,8243.3366,0.0128,1,147,19,1.296875
82,65,8206.625,0.0551,1,147,17,1.2615384615384615
81,66,8156.768,0.0602,1,147,15,1.2272727272727273
80,67,8094.0381,0.034,1,147,13,1.1940298507462686
79,68,8026.476,0.2598,1,147,11,1.161764705882353
78,69,7948.8178,0.0465,1,147,9,1.1304347826086956
94,54,8047.0,2.0,0,148,40,1.7407407407407407
93,55,8097.5469,0.0881,1,148,38,1.690909090909091
92,56,8164.1118,0.0101,1,148,36,1.6428571428571428
91,57,8193.7165,0.1315,1,148,34,1.5964912280701755
90,58,8240.3876,0.0756,1,148,32,1.5517241379310345
89,59,8249.5409,0.1016,1,148,30,1.5084745762711864
88,60,8277.1778,0.0139,1,148,28,1.4666666666666666
87,61,8268.2283,0.0384,1,148,26,1.4262295081967213
86,62,8279.6326,0.0084,1,148,24,1.3870967741935485
85,63,8253.8155,0.0673,1,148,22,1.3492063492063493
84,64,8248.3398,0.0099,1,148,20,1.3125
83,65,8204.3207,0.0842,1,148,18,1.2769230769230768
82,66,8180.943,0.0589,1,148,16,1.2424242424242424
81,67,8108.9797,0.5664,1,148,14,1.208955223880597
80,68,8059.6924,0.0692,1,148,12,1.1764705882352942
79,69,7968.5011,0.0692,1,148,10,1.144927536231884
78,70,7906.0,3.0,0,148,8,1.1142857142857143
95,54,8009.0,2.0,0,149,41,1.7592592592592593
94,55,8073.0,3.0,0,149,39,1.709090909090909
93,56,8131.8495,0.0169,1,149,37,1.6607142857142858
92,57,8176.1915,1.344,1,149,35,1.6140350877192982
91,58,8214.2294,0.0688,1,149,33,1.5689655172413792
90,59,8238.304,0.0663,1,149,31,1.5254237288135593
89,60,8255.4437,0.0138,1,149,29,1.4833333333333334
88,61,8261.5277,0.0147,1,149,27,1.4426229508196722
87,62,8263.4683,0.0078,1,149,25,1.403225806451613
86,63,8253.556,0.0262,1,149,23,1.3650793650793651
85,64,8239.4856,0.0222,1,149,21,1.328125
84,65,8209.8153,0.0244,1,149,19,1.2923076923076924
83,66,8179.0972,0.0616,1,149,17,1.2575757575757576
82,67,8133.255,0.0804,1,149,15,1.2238805970149254
81,68,8074.9558,0.1875,1,149,13,1.1911764705882353
80,69,8004.0,1.0,0,149,11,1.1594202898550725
79,70,7927.0,2.0,0,149,9,1.1285714285714286
96,54,7983.0,2.0,0,150,42,1.7777777777777777
95,55,8039.0,3.0,0,150,40,1.7272727272727273
94,56,8111.8405,0.0379,1,150,38,1.6785714285714286
93,57,8149.4339,0.0168,1,150,36,1.631578947368421
92,58,8201.123,0.078,1,150,34,1.5862068965517242
91,59,8218.9316,0.0601,1,150,32,1.5423728813559323
90,60,8249.5789,0.0075,1,150,30,1.5
89,61,8243.8125,0.1335,1,150,28,1.459016393442623
88,62,8261.6235,0.0074,1,150,26,1.4193548387096775
87,63,8241.3481,0.0415,1,150,24,1.380952380952381
86,64,8242.6103,0.0404,1,150,22,1.34375
85,65,8206.3396,0.0491,1,150,20,1.3076923076923077
84,66,8189.1495,0.0288,1,150,18,1.2727272727272727
